Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,ClassName,Professor,
-T-R---, 2:00P-5:20P, Givens / 116, 15, 13, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Safaverdi, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Compadre, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 11, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Denizen, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 11, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Freixas, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Kim, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Parcic, 
----F--, 2:00P-4:50P, Givens / 116, 15, 14, 0, ARCHITECTURE(A46), Representation I, Hatheway, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Phillips, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Mitrisin, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Ulmer, 
----F--, 2:00P-4:50P, Givens / 116, 15, 11, 0, ARCHITECTURE(A46), Representation I, Null, 
----F--, 2:00P-4:50P, Givens / 116, 15, 13, 0, ARCHITECTURE(A46), Representation I, Guo, 
-T-R---, 1:00P-5:20P, Givens / 116, 65, 11, 0, ARCHITECTURE(A46), Architectural Design I, Vale, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Abendroth, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Byun, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Stitelman, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Stouffer, 
----F--, 8:30A-11:20A, Givens / 118, 20, 16, 0, ARCHITECTURE(A46), Shared Ecologies and Design, Denizen, 
-T-R---, 1:00P-3:50P, Steinberg / 6, 16, 13, 0, ARCHITECTURE(A46), Community Building, Hansman, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ARCHITECTURE(A46), Architecture Through the Photographic Lens, Colten, 
-T-R---, 10:00A-11:20A, Busch / 100, 100, 63, 0, ARCHITECTURE(A46), Architectural History I: Antiquity to Baroque, Allen, 
M-W----, 8:30A-11:20A, Walker Hall / 103, 0, 13, 0, ARCHITECTURE(A46), Furniture Design Emphasis Metal, Stouffer, 
-T-R---, 2:30P-3:50P, January Hall / 110, 0, 19, 0, ARCHITECTURE(A46), Sustainability Exchange: Community and University Practicums, Williams Krummenacher Solberg Knipp VanRiper Bumpers, 
TBA, , TBA, 0, 11, 0, ARCHITECTURE(A46), Architectural Design V (Florence), [TBA], 
M-W----, 11:30A-12:50P, Givens / 116, 50, 47, 0, ARCHITECTURE(A46), Design Culture, Luchini, 
-T-R---, 10:00A-11:20A, Busch / 100, 100, 63, 0, ARCHITECTURE(A46), Architectural History I:  Antiquity to Baroque, Allen, 
-T-R---, 11:30A-12:50P, Givens / 116, 60, 50, 0, ARCHITECTURE(A46), Environmental Systems I, Yin, 
----F--M------, 8:00A-9:50A8:30A-9:50A, Steinberg / 105   Steinberg / 105, 100, 97, 0, ARCHITECTURE(A46), Building Systems, Moyano Fernandez, 
--W----, 6:30P-8:50P, Simon / 023, 75, 70, 0, ARCHITECTURE(A46), Structures I, Shinn, 
--W----, 8:30A-11:20A, Givens / 118, 12, 7, 0, ARCHITECTURE(A46), Segregation by Design: A Historical Analysis of the Impact of Planning and Policy in St. Louis, Freixas, 
-T-R---, 8:30A-9:50A, Givens / 118, 12, 5, 0, ARCHITECTURE(A46), Creating a Resilient City: Gateway South St. Louis, Yin, 
-T-R---, 11:30A-12:50P, Steinberg / 205, 10, 6, 0, ARCHITECTURE(A46), Solar Decathlon Design Challenge, Abendroth, 
--W----, 6:00P-8:50P, Givens / 118, 12, 10, 0, ARCHITECTURE(A46), Landscapes Through Time:  The History of St. Louis' Built Environment, Moore, 
----F--, 1:00P-4:50P, Weil / 120, 12, 9, 0, ARCHITECTURE(A46), NOMA National Design Competition, Betts, 
M--R---, 1:30P-5:20P, TBA, 12, 0, 0, ARCHITECTURE(A46), Architectural Design V, [TBA], 
----F--, 11:30A-12:50P, Steinberg / 105, 60, 49, 0, ARCHITECTURE(A46), Pre-Design Seminar, Stitelman, 
---R---, 6:00P-8:50P, Givens / 115, 12, 11, 0, ARCHITECTURE(A46), Visions of a Brighter Future: The History of Progressive Design at Worlds Fairs, Moore, 
-T-R---, 8:30A-9:50A, Steinberg / 105, 60, 49, 0, ARCHITECTURE(A46), Advanced Building Systems, Janis Ahrens, 
--W----, 1:00P-3:50P, Weil / 230, 12, 5, 0, ARCHITECTURE(A46), Kindred Landscapes, Peemoeller, 
-T-----, 1:00P-3:50P, Steinberg / 205, 12, 9, 0, ARCHITECTURE(A46), Architecture Climate Metabolism and Use. Towards Post-Sustainability, Garcia-German, 
---R---, 6:00P-8:50P, Givens / 118, 10, 6, 0, ARCHITECTURE(A46), Advanced Seminar in Urban Sustainability I, Hoal, 
-T-----, 1:00P-3:50P, Givens / 118, 12, 11, 0, ARCHITECTURE(A46), Theories & Methods of Historical Research, Mumford, 
M--R---, 1:00P-5:20P, TBA, 12, 3, 0, ARCHITECTURE(A46), Degree Project, Mendez, 
-T-R---, 8:30A-9:50A, Steinberg / 205, 12, 5, 0, ARCHITECTURE(A46), Professional Practice I, Johannes Scott, 
----F--, 8:30A-11:20A, Givens / 118, 20, 16, 0, LANDSCAPE ARCHITECTURE(A48), Shared Ecologies and Design, Denizen, 
M--R---, 1:00P-5:20P, TBA, 0, 4, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Architecture Design Studio I, Ellingsen, 
--W----, 5:00P-9:20P, Givens / 115, 0, 4, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Representation I:  Hand Drafting Drawing & Sketching, Compadre, 
M--R---, 1:00P-5:20P, TBA, 12, 3, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Architecture Design Studio III, Bonvehi-Rosich, 
--W----, 8:30A-11:20A, Steinberg / 205, 12, 3, 0, LANDSCAPE ARCHITECTURE(A48), Visualizing Ecological Processes, Ellingsen, 
-T-----, 8:30A-11:20A, Weil / 330, 8, 7, 0, LANDSCAPE ARCHITECTURE(A48), Plants & Environment, Ladd, 
--W----, 1:00P-3:50P, Weil / 230, 12, 5, 0, LANDSCAPE ARCHITECTURE(A48), Kindred Landscapes, Peemoeller, 
M------, 8:30A-11:20A, Weil / 230, 12, 6, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Technology, Emmelkamp, 
-T-----, 2:30P-5:20P, Givens / 115, 12, 10, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Architecture History & Theory, Carlson, 
M--R---, 1:00P-5:20P, TBA, 12, 8, 0, LANDSCAPE ARCHITECTURE(A48), Landscape Architecture Design Studio V, Bonvehi-Rosich, 
----FSS, 12:00A-12:00A, TBA, 12, 10, 0, URBAN DESIGN(A49), Informal Cities Workshop: Designing Urbanity: Collective Housing in Emergent Cities, Bernstine, 
---R---, 6:00P-8:50P, Givens / 118, 10, 6, 0, URBAN DESIGN(A49), Advanced Seminar in Urban Sustainability I, Hoal, 
M------, 6:00P-8:50P, Givens / 118, 10, 8, 0, URBAN DESIGN(A49), Informal Cities:  The Future of Global Urbanism, Bernstine, 
----F--, 8:30A-11:20A, Weil / 230, 10, 5, 0, URBAN DESIGN(A49), Metropolitan Development:  What's in a Plan?, Trivers, 
M--R---, 1:00P-5:20P, TBA, 15, 3, 0, URBAN DESIGN(A49), Elements of Urban Design, Hoal, 
M-W----, 8:30A-11:20A, Bixby / 210, 0, 30, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Drawing, Smith Flanagan, 
-T-R---, 1:00P-3:50P, Bixby / 210, 0, 26, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Drawing, Nagarajan Early, 
M-W----, 4:30P-7:20P, Bixby / 212, 15, 10, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Drawing, Valentine, 
M-W----, 1:00P-3:50P, Bixby / 214, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 2-D Design, Dawson, 
M-W----, 1:00P-3:50P, Steinberg / 202, 0, 9, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 2-D Design, Flanagan, 
-T-R---, 8:30A-11:20A, Bixby / 214, 0, 14, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 2-D Design, Santoro, 
-T-R---, 1:00P-3:50P, Bixby / 214, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 2-D Design, Hubbell, 
-T-R---, 1:00P-3:50P, Steinberg / 202, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 2-D Design, Pike, 
M-W----, 8:30A-11:20A, Bixby / 200, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 3-D Design, Nadler, 
M-W----, 1:00P-3:50P, Bixby / 200, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 3-D Design, Chavez, 
-T-R---, 8:30A-11:20A, Bixby / 200, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 3-D Design, Stouffer, 
-T-R---, 1:00P-3:50P, Bixby / 200, 0, 9, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), 3-D Design, Todd, 
M-W----, 8:30A-11:20A, Walker Hall / 050, 0, 29, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Digital Studio, Daniels Nunez Ridolfi, 
-T-R---, 1:00P-3:50P, Walker Hall / 050, 0, 38, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Digital Studio, Bennett Cosic Jodice, 
----F--, 11:00A-11:50A, Busch / 100, 105, 97, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Practices in Art + Design, Early Hauft, 
-T-R---, 8:30A-11:20A, Walker Hall / 103, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Sculpture Studio:  Material and Culture, Todd, 
-T-R---, 1:00P-3:50P, Bixby / 110, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Printmaking Studio:  Material and Culture, Reed, 
-T-R---, 1:00P-3:50P, Bixby / 7, 0, 15, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Painting Studio:  Material and Culture, deVera, 
M-W----, 1:00P-3:50P, Bixby / 11, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Introduction to Fashion: Materials Volume & the Body, Desch, 
-T-R---, 1:00P-3:50P, Bixby / 15, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Introduction to Fashion: Materials Volume & the Body, Ingram, 
-T-R---, 1:00P-3:50P, Bixby / 11, 0, 10, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Introduction to Fashion: Materials Volume & the Body, Desch, 
M-W----, 1:00P-3:50P, Weil / 330, 0, 15, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Typography I, Leffell Koren, 
M-W----, 1:00P-3:50P, Steinberg / 25, 0, 10, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Word and Image I, Valentine, 
M-W----, 1:00P-3:50P, Bixby / 124, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Typography and Letterform: The Design of Language, Kiel, 
-T-R---, 8:30A-11:20A, Walker Hall / 205, 0, 21, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Pictures for Communication, Pike, 
M-W----, 8:30A-11:20A, Walker Hall / 205, 0, 17, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Image Making for Graphic Design, Hubbell, 
M-W----, 4:30P-7:20P, Walker Hall / 205, 0, 14, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Painting: Art Practice (Place and Space), Adams, 
M-W----, 1:00P-3:50P, Walker Hall / 103, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Sculpture: Art Practice (Material as Metaphor), Nadler, 
M-W----, 8:30A-11:20A, Bixby / 110, 0, 6, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Printmaking: Art Practice (The Printed Image), Dawson, 
-T-R---, 1:00P-3:50P, Steinberg / 26, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Photography: Art Practice (Making and Marking Site), Colten, 
M-W----, 1:00P-3:50P, Bixby / 15, 0, 7, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Patternmaking and Production, Ingram, 
-T-R---, 1:00P-3:50P, TBA, 0, 9, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Time-Based Media: Art Practice (Expanded Cinema), Weiss, 
-T-R---, 1:00P-3:50P, Weil / 330, 0, 10, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Conditional Design, Hanahan, 
M-W----, 1:00P-3:50P, Walker Hall / 050, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Word & Image II, Corcoran Nagarajan, 
M-W----, 1:00P-3:50P, Walker Hall / 050, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Word & Image II, Corcoran Nagarajan, 
M-W----, 1:00P-3:50P, Walker Hall / 204, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Word & Image II, Bliss Ravikrishna, 
M-W----, 1:00P-3:50P, Walker Hall / 205, 0, 14, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Word & Image II, Bliss Ravikrishna, 
-T-R---, 8:30A-11:20A, Walker Hall / 050, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Typography II, Auman, 
-T-R---, 8:30A-11:20A, Walker Hall / 050, 0, 10, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Typography II, SILVERBERG, 
-T-R---, 1:00P-3:50P, Walker Hall / 204, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Typography II, Leffell Koren, 
-T-R---, 1:00P-3:50P, Walker Hall / 205, 0, 14, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Communication Design:  Typography II, Silverberg, 
M-W----, 8:30A-11:20A, Walker Hall / 204, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Motion Graphics for Designers, Auman, 
-T-R---, 8:30A-11:20A, Bixby / 110, 0, 9, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Content to Cover: the Design of Books, Leffell Koren, 
M-W----, 4:30P-7:20P, Walker Hall / 205, 0, 14, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Painting: Art Practice (Place and Space), Adams, 
M-W----, 1:00P-3:50P, Walker Hall / 103, 0, 12, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Sculpture: Art Practice (Material as Metaphor), Nadler, 
M-W----, 8:30A-11:20A, Bixby / 110, 0, 6, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Printmaking: Art Practice (The Printed Image), Dawson, 
-T-R---, 1:00P-3:50P, Steinberg / 26, 0, 13, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Photography: Art Practice (Making and Marking Site), Colten, 
-T-R---, 1:00P-3:50P, Bixby / 16, 0, 5, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Capstone 1:  Fashion Design (Pre-Collection Studio), Ruppert-Stroescu, 
-T-R---, 8:30A-11:20A, Bixby / 16, 0, 5, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Advanced Patternmaking, Ingram, 
-T-R---, 1:00P-3:50P, TBA, 0, 9, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Time Based Media: Art Practice (Expanded Cinema), Weiss, 
-T-R---, 1:00P-3:50P, Steinberg / 213, 0, 7, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Capstone in Design 1: Research Methods (Form and Function), Auman, 
-T-R---, 8:30A-11:20A, Steinberg / 213, 0, 8, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Capstone in Design 1: Research Methods (Form and Interaction), Hanahan, 
M-W----, 8:30A-11:20A, Steinberg / 213, 0, 8, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Capstone in Illustration 1: Research Methods (Image and Story), Nagarajan, 
-T-R---, 8:30A-11:20A, Bixby / 212, 0, 8, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), The Illustrator's Sketchbook, Smith, 
M-W----, 11:30A-12:50P, Steinberg / 24, 0, 5, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Design for Social Impact, Acayo Laker, 
M-W----, 1:00P-3:50P, Steinberg / 213, 0, 16, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Comm. Design: Visual Voice, Hubbell, 
----F------F--, 8:30A-11:20A1:00P-3:50P, Walker Hall / 205   Walker Hall / 205, 0, 11, 0, ART (CORE AND MAJOR STUDIO COURSES)(F10), Capstone Studio I, Bennett Wassenaar, 
----F--, 1:00P-3:50P, Givens / 118, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), UnCommon St. Louis: Race Place and Power, Dingwall, 
M-W----, 8:30A-11:20A, Walker Hall / 122, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
-T-R---, 8:30A-11:20A, Walker Hall / 122, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
M-W----, 1:00P-3:50P, Bixby / 110, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Printmaking, Johnston, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Architecture Through the Photographic Lens, Colten, 
M-W----, 1:00P-3:50P, Steinberg / 26, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Photography, Becker, 
M-W----, 1:00P-3:50P, Steinberg / 24, 0, 13, 0, ART (ELECTIVE STUDIO COURSES)(F20), Black-and-White Photography, Kirkwood, 
-T-R---, 1:00P-3:50P, Bixby / 124, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Color Systems, Wassenaar, 
M-W----, 1:00P-3:50P, Bixby / 212, 0, 5, 0, ART (ELECTIVE STUDIO COURSES)(F20), Advanced Drawing: Affective Stills and the Moving Image, Olynyk, 
-T-R---, 8:30A-11:20A, Kemper / 040L, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Animated Worlds, Navy, 
-T-R---, 6:00P-8:50P, Steinberg / 6, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Illustration Entrepreneur, Bosch, 
M-W----, 8:30A-11:20A, Steinberg / 6, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 1:00P-3:50P, Steinberg / 6, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 8:30A-11:20A, Bixby / 214, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, SILVERBERG, 
-T-R---, 6:00P-8:50P, Weil / 330, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Kratschmer, 
-T-R---, 4:30P-7:20P, Bixby / 110, 0, 7, 0, ART (ELECTIVE STUDIO COURSES)(F20), Introduction to Letterpress Printing, Oberkirsch, 
M-W----, 1:00P-3:50P, Bixby / 210, 13, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Anatomy Figure Structure, Adams, 
----F--, 1:00P-3:50P, Givens / 118, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), UnCommon St. Louis: Race Place and Power, Dingwall, 
M-W----, 4:30P-7:20P, Walker Hall / 103, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Fabrication for Object Making, Todd, 
M-W----, 8:30A-11:20A, Walker Hall / 122, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
-T-R---, 8:30A-11:20A, Walker Hall / 122, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
M-W----, 1:00P-3:50P, Bixby / 110, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Printmaking, Johnston, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Architecture Through the Photographic Lens, Colten, 
M-W----, 11:30A-12:50P, Bixby / 9, 0, 23, 0, ART (ELECTIVE STUDIO COURSES)(F20), Business of Fashion, Bourgeois, 
-T-R---, 1:00P-3:50P, Bixby / 124, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Color Systems, Wassenaar, 
M-W----, 1:00P-3:50P, Bixby / 212, 0, 5, 0, ART (ELECTIVE STUDIO COURSES)(F20), Advanced Drawing: Affective Stills and the Moving Image, Olynyk, 
-T-R---, 8:30A-11:20A, Kemper / 040L, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Animated Worlds, Navy, 
-T-R---, 6:00P-8:50P, Steinberg / 6, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Illustration Entrepreneur, Bosch, 
M-W----, 8:30A-11:20A, Steinberg / 6, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 1:00P-3:50P, Steinberg / 6, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 8:30A-11:20A, Bixby / 214, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, SILVERBERG, 
-T-R---, 6:00P-8:50P, Weil / 330, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Kratschmer, 
M-W----, 1:00P-3:50P, Weil / 120, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Game Design, Nunez, 
----F--, 11:00A-11:50A, Givens / 113, 26, 25, 0, ART (ELECTIVE STUDIO COURSES)(F20), Semester Abroad Program Seminar, Cushard, 
-T-R---, 4:30P-7:20P, Bixby / 110, 0, 7, 0, ART (ELECTIVE STUDIO COURSES)(F20), Introduction to Letterpress Printing, Oberkirsch, 
M-W----, 1:00P-3:50P, Bixby / 210, 13, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Anatomy Figure Structure, Adams, 
----F--, 1:00P-3:50P, Givens / 118, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), UnCommon St. Louis: Race Place and Power, Dingwall, 
M-W----, 4:30P-7:20P, Walker Hall / 103, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Fabrication for Object Making, Todd, 
M-W----, 8:30A-11:20A, Walker Hall / 122, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
-T-R---, 8:30A-11:20A, Walker Hall / 122, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
M-W----, 1:00P-3:50P, Bixby / 110, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Printmaking, Johnston, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Architecture Through the Photographic Lens, Colten, 
-T-R---, 1:00P-3:50P, Walker Hall / 122, 0, 14, 0, ART (ELECTIVE STUDIO COURSES)(F20), Structural Ceramics, Moon, 
-T-R---, 11:30A-12:50P, Walker Hall / 204, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Design Within Context: Scroll to Screen, Dingwall, 
-T-R---, 1:00P-3:50P, Bixby / 124, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Color Systems, Wassenaar, 
M-W----, 1:00P-3:50P, Bixby / 212, 0, 5, 0, ART (ELECTIVE STUDIO COURSES)(F20), Advanced Drawing: Affective Stills and the Moving Image, Olynyk, 
-T-R---, 8:30A-11:20A, Kemper / 040L, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Animated Worlds, Navy, 
---R---, 4:30P-7:20P, Walker Hall / 050, 0, 13, 0, ART (ELECTIVE STUDIO COURSES)(F20), Interaction Design: Understanding Health and Well-Being, Spitz Kramer, 
---R---, 4:30P-7:20P, Walker Hall / 050, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Interaction Design: Understanding Health and Well-Being, Spitz Kramer, 
-T-R---, 6:00P-8:50P, Steinberg / 6, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Illustration Entrepreneur, Bosch, 
M-W----, 8:30A-11:20A, Steinberg / 6, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 1:00P-3:50P, Steinberg / 6, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Haider, 
M-W----, 8:30A-11:20A, Bixby / 214, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, SILVERBERG, 
-T-R---, 6:00P-8:50P, Weil / 330, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Visual Principles for the Screen, Kratschmer, 
M-W----, 8:30A-11:20A, Walker Hall / 103, 0, 13, 0, ART (ELECTIVE STUDIO COURSES)(F20), Furniture Design Emphasis Metal, Stouffer, 
-T-----, 1:00P-3:50P, Weil / 230, 0, 7, 0, ART (ELECTIVE STUDIO COURSES)(F20), Freund Fellow Seminar: Artists in the Archive, Campbell, 
-T-R---, 4:30P-7:20P, Bixby / 110, 0, 7, 0, ART (ELECTIVE STUDIO COURSES)(F20), Introduction to Letterpress Printing, Oberkirsch, 
--W----, 8:30A-11:20A, TBA, 0, 9, 0, ART (ELECTIVE STUDIO COURSES)(F20), Lost in Space: Media Art and Immersive Environments, Olynyk, 
M-W----, 1:00P-3:50P, Bixby / 210, 13, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Anatomy Figure Structure, Adams, 
----F--, 1:00P-3:50P, Givens / 118, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), UnCommon St. Louis: Race Place and Power, Dingwall, 
M-W----, 4:30P-7:20P, Walker Hall / 103, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Fabrication for Object Making, Todd, 
M-W----, 8:30A-11:20A, Walker Hall / 122, 0, 15, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
-T-R---, 8:30A-11:20A, Walker Hall / 122, 0, 16, 0, ART (ELECTIVE STUDIO COURSES)(F20), Compositions in Clay, Moon, 
M-W----, 1:00P-3:50P, Bixby / 110, 0, 12, 0, ART (ELECTIVE STUDIO COURSES)(F20), Printmaking, Johnston, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ART (ELECTIVE STUDIO COURSES)(F20), Architecture Through the Photographic Lens, Colten, 
M-W----, 1:00P-3:50P, Steinberg / 26, 0, 10, 0, ART (ELECTIVE STUDIO COURSES)(F20), Digital Photography, Becker, 
M-W----, 1:00P-3:50P, Steinberg / 24, 0, 13, 0, ART (ELECTIVE STUDIO COURSES)(F20), Black-and-White Photography, Kirkwood, 
